S 68214c,1 tag = 6664, set = 10, block = 6824268 miss 
L 602490,4 tag = 6153, set = 4, block = 6300816 hit 
S 642b58,4 tag = 6410, set = 26, block = 6564696 miss eviction 
L 602494,4 tag = 6153, set = 4, block = 6300820 hit 
S 642bd8,4 tag = 6410, set = 30, block = 6564824 miss eviction 
L 602498,4 tag = 6153, set = 4, block = 6300824 hit 
S 642c58,4 tag = 6411, set = 2, block = 6564952 miss eviction 
L 60249c,4 tag = 6153, set = 4, block = 6300828 hit 
S 642cd8,4 tag = 6411, set = 6, block = 6565080 miss eviction 
L 6024a0,4 tag = 6153, set = 5, block = 6300800 miss 
S 642d58,4 tag = 6411, set = 10, block = 6565208 miss eviction 
L 6024a4,4 tag = 6153, set = 5, block = 6300804 hit 
S 642dd8,4 tag = 6411, set = 14, block = 6565336 miss eviction 
L 6024a8,4 tag = 6153, set = 5, block = 6300808 hit 
S 642e58,4 tag = 6411, set = 18, block = 6565464 miss eviction 
L 6024ac,4 tag = 6153, set = 5, block = 6300812 hit 
S 642ed8,4 tag = 6411, set = 22, block = 6565592 miss eviction 
L 6024b0,4 tag = 6153, set = 5, block = 6300816 hit 
S 642f58,4 tag = 6411, set = 26, block = 6565720 miss eviction 
L 6024b4,4 tag = 6153, set = 5, block = 6300820 hit 
S 642fd8,4 tag = 6411, set = 30, block = 6565848 miss eviction 
L 6024b8,4 tag = 6153, set = 5, block = 6300824 hit 
S 643058,4 tag = 6412, set = 2, block = 6565976 miss eviction 
L 6024bc,4 tag = 6153, set = 5, block = 6300828 hit 
S 6430d8,4 tag = 6412, set = 6, block = 6566104 miss eviction 
L 6024c0,4 tag = 6153, set = 6, block = 6300864 miss eviction 
S 64215c,4 tag = 6408, set = 10, block = 6562140 miss eviction 
L 6024c4,4 tag = 6153, set = 6, block = 6300868 hit 
S 6421dc,4 tag = 6408, set = 14, block = 6562268 miss eviction 
L 6024c8,4 tag = 6153, set = 6, block = 6300872 hit 
S 64225c,4 tag = 6408, set = 18, block = 6562396 miss eviction 
L 6024cc,4 tag = 6153, set = 6, block = 6300876 hit 
S 6422dc,4 tag = 6408, set = 22, block = 6562524 miss eviction 
L 6024d0,4 tag = 6153, set = 6, block = 6300880 hit 
S 64235c,4 tag = 6408, set = 26, block = 6562652 miss eviction 
L 6024d4,4 tag = 6153, set = 6, block = 6300884 hit 
S 6423dc,4 tag = 6408, set = 30, block = 6562780 miss eviction 
L 6024d8,4 tag = 6153, set = 6, block = 6300888 hit 
S 64245c,4 tag = 6409, set = 2, block = 6562908 miss eviction 
L 6024dc,4 tag = 6153, set = 6, block = 6300892 hit 
S 6424dc,4 tag = 6409, set = 6, block = 6563036 miss eviction 
L 6024e0,4 tag = 6153, set = 7, block = 6300864 miss 
S 64255c,4 tag = 6409, set = 10, block = 6563164 miss eviction 
L 6024e4,4 tag = 6153, set = 7, block = 6300868 hit 
S 6425dc,4 tag = 6409, set = 14, block = 6563292 miss eviction 
L 6024e8,4 tag = 6153, set = 7, block = 6300872 hit 
S 64265c,4 tag = 6409, set = 18, block = 6563420 miss eviction 
L 6024ec,4 tag = 6153, set = 7, block = 6300876 hit 
S 6426dc,4 tag = 6409, set = 22, block = 6563548 miss eviction 
L 6024f0,4 tag = 6153, set = 7, block = 6300880 hit 
S 64275c,4 tag = 6409, set = 26, block = 6563676 miss eviction 
L 6024f4,4 tag = 6153, set = 7, block = 6300884 hit 
S 6427dc,4 tag = 6409, set = 30, block = 6563804 miss eviction 
L 6024f8,4 tag = 6153, set = 7, block = 6300888 hit 
S 64285c,4 tag = 6410, set = 2, block = 6563932 miss eviction 
L 6024fc,4 tag = 6153, set = 7, block = 6300892 hit 
S 6428dc,4 tag = 6410, set = 6, block = 6564060 miss eviction 
L 602500,4 tag = 6153, set = 8, block = 6300928 miss 
S 64295c,4 tag = 6410, set = 10, block = 6564188 miss eviction 
L 602504,4 tag = 6153, set = 8, block = 6300932 hit 
S 6429dc,4 tag = 6410, set = 14, block = 6564316 miss eviction 
L 602508,4 tag = 6153, set = 8, block = 6300936 hit 
S 642a5c,4 tag = 6410, set = 18, block = 6564444 miss eviction 
L 60250c,4 tag = 6153, set = 8, block = 6300940 hit 
S 642adc,4 tag = 6410, set = 22, block = 6564572 miss eviction 
L 602510,4 tag = 6153, set = 8, block = 6300944 hit 
S 642b5c,4 tag = 6410, set = 26, block = 6564700 miss eviction 
L 602514,4 tag = 6153, set = 8, block = 6300948 hit 
S 642bdc,4 tag = 6410, set = 30, block = 6564828 miss eviction 
L 602518,4 tag = 6153, set = 8, block = 6300952 hit 
S 642c5c,4 tag = 6411, set = 2, block = 6564956 miss eviction 
L 60251c,4 tag = 6153, set = 8, block = 6300956 hit 
S 642cdc,4 tag = 6411, set = 6, block = 6565084 miss eviction 
L 602520,4 tag = 6153, set = 9, block = 6300928 miss 
S 642d5c,4 tag = 6411, set = 10, block = 6565212 miss eviction 
L 602524,4 tag = 6153, set = 9, block = 6300932 hit 
S 642ddc,4 tag = 6411, set = 14, block = 6565340 miss eviction 
L 602528,4 tag = 6153, set = 9, block = 6300936 hit 
S 642e5c,4 tag = 6411, set = 18, block = 6565468 miss eviction 
L 60252c,4 tag = 6153, set = 9, block = 6300940 hit 
S 642edc,4 tag = 6411, set = 22, block = 6565596 miss eviction 
L 602530,4 tag = 6153, set = 9, block = 6300944 hit 
S 642f5c,4 tag = 6411, set = 26, block = 6565724 miss eviction 
L 602534,4 tag = 6153, set = 9, block = 6300948 hit 
S 642fdc,4 tag = 6411, set = 30, block = 6565852 miss eviction 
L 602538,4 tag = 6153, set = 9, block = 6300952 hit 
S 64305c,4 tag = 6412, set = 2, block = 6565980 miss eviction 
L 60253c,4 tag = 6153, set = 9, block = 6300956 hit 
S 6430dc,4 tag = 6412, set = 6, block = 6566108 miss eviction 
L 602540,4 tag = 6153, set = 10, block = 6300992 miss eviction 
S 642160,4 tag = 6408, set = 11, block = 6562112 miss eviction 
L 602544,4 tag = 6153, set = 10, block = 6300996 hit 
S 6421e0,4 tag = 6408, set = 15, block = 6562240 miss eviction 
L 602548,4 tag = 6153, set = 10, block = 6301000 hit 
S 642260,4 tag = 6408, set = 19, block = 6562368 miss eviction 
L 60254c,4 tag = 6153, set = 10, block = 6301004 hit 
S 6422e0,4 tag = 6408, set = 23, block = 6562496 miss eviction 
L 602550,4 tag = 6153, set = 10, block = 6301008 hit 
S 642360,4 tag = 6408, set = 27, block = 6562624 miss eviction 
L 602554,4 tag = 6153, set = 10, block = 6301012 hit 
S 6423e0,4 tag = 6408, set = 31, block = 6562752 miss eviction 
L 602558,4 tag = 6153, set = 10, block = 6301016 hit 
S 642460,4 tag = 6409, set = 3, block = 6562880 miss eviction 
L 60255c,4 tag = 6153, set = 10, block = 6301020 hit 
S 6424e0,4 tag = 6409, set = 7, block = 6563008 miss eviction 
L 602560,4 tag = 6153, set = 11, block = 6300992 miss eviction 
S 642560,4 tag = 6409, set = 11, block = 6563136 miss eviction 
L 602564,4 tag = 6153, set = 11, block = 6300996 miss eviction 
S 6425e0,4 tag = 6409, set = 15, block = 6563264 miss eviction 
L 602568,4 tag = 6153, set = 11, block = 6301000 hit 
S 642660,4 tag = 6409, set = 19, block = 6563392 miss eviction 
L 60256c,4 tag = 6153, set = 11, block = 6301004 hit 
S 6426e0,4 tag = 6409, set = 23, block = 6563520 miss eviction 
L 602570,4 tag = 6153, set = 11, block = 6301008 hit 
S 642760,4 tag = 6409, set = 27, block = 6563648 miss eviction 
L 602574,4 tag = 6153, set = 11, block = 6301012 hit 
S 6427e0,4 tag = 6409, set = 31, block = 6563776 miss eviction 
L 602578,4 tag = 6153, set = 11, block = 6301016 hit 
S 642860,4 tag = 6410, set = 3, block = 6563904 miss eviction 
L 60257c,4 tag = 6153, set = 11, block = 6301020 hit 
S 6428e0,4 tag = 6410, set = 7, block = 6564032 miss eviction 
L 602580,4 tag = 6153, set = 12, block = 6301056 miss eviction 
S 642960,4 tag = 6410, set = 11, block = 6564160 miss eviction 
L 602584,4 tag = 6153, set = 12, block = 6301060 hit 
S 6429e0,4 tag = 6410, set = 15, block = 6564288 miss eviction 
L 602588,4 tag = 6153, set = 12, block = 6301064 hit 
S 642a60,4 tag = 6410, set = 19, block = 6564416 miss eviction 
L 60258c,4 tag = 6153, set = 12, block = 6301068 hit 
S 642ae0,4 tag = 6410, set = 23, block = 6564544 miss eviction 
L 602590,4 tag = 6153, set = 12, block = 6301072 hit 
S 642b60,4 tag = 6410, set = 27, block = 6564672 miss eviction 
L 602594,4 tag = 6153, set = 12, block = 6301076 hit 
S 642be0,4 tag = 6410, set = 31, block = 6564800 miss eviction 
L 602598,4 tag = 6153, set = 12, block = 6301080 hit 
S 642c60,4 tag = 6411, set = 3, block = 6564928 miss eviction 
L 60259c,4 tag = 6153, set = 12, block = 6301084 hit 
S 642ce0,4 tag = 6411, set = 7, block = 6565056 miss eviction 
L 6025a0,4 tag = 6153, set = 13, block = 6301056 miss eviction 
S 642d60,4 tag = 6411, set = 11, block = 6565184 miss eviction 
L 6025a4,4 tag = 6153, set = 13, block = 6301060 hit 
S 642de0,4 tag = 6411, set = 15, block = 6565312 miss eviction 
L 6025a8,4 tag = 6153, set = 13, block = 6301064 hit 
S 642e60,4 tag = 6411, set = 19, block = 6565440 miss eviction 
L 6025ac,4 tag = 6153, set = 13, block = 6301068 hit 
S 642ee0,4 tag = 6411, set = 23, block = 6565568 miss eviction 
L 6025b0,4 tag = 6153, set = 13, block = 6301072 hit 
S 642f60,4 tag = 6411, set = 27, block = 6565696 miss eviction 
L 6025b4,4 tag = 6153, set = 13, block = 6301076 hit 
S 642fe0,4 tag = 6411, set = 31, block = 6565824 miss eviction 
L 6025b8,4 tag = 6153, set = 13, block = 6301080 hit 
S 643060,4 tag = 6412, set = 3, block = 6565952 miss eviction 
L 6025bc,4 tag = 6153, set = 13, block = 6301084 hit 
S 6430e0,4 tag = 6412, set = 7, block = 6566080 miss eviction 
L 6025c0,4 tag = 6153, set = 14, block = 6301120 miss eviction 
S 642164,4 tag = 6408, set = 11, block = 6562116 miss eviction 
L 6025c4,4 tag = 6153, set = 14, block = 6301124 hit 
S 6421e4,4 tag = 6408, set = 15, block = 6562244 miss eviction 
L 6025c8,4 tag = 6153, set = 14, block = 6301128 hit 
S 642264,4 tag = 6408, set = 19, block = 6562372 miss eviction 
L 6025cc,4 tag = 6153, set = 14, block = 6301132 hit 
S 6422e4,4 tag = 6408, set = 23, block = 6562500 miss eviction 
L 6025d0,4 tag = 6153, set = 14, block = 6301136 hit 
S 642364,4 tag = 6408, set = 27, block = 6562628 miss eviction 
L 6025d4,4 tag = 6153, set = 14, block = 6301140 hit 
S 6423e4,4 tag = 6408, set = 31, block = 6562756 miss eviction 
L 6025d8,4 tag = 6153, set = 14, block = 6301144 hit 
S 642464,4 tag = 6409, set = 3, block = 6562884 miss eviction 
L 6025dc,4 tag = 6153, set = 14, block = 6301148 hit 
S 6424e4,4 tag = 6409, set = 7, block = 6563012 miss eviction 
L 6025e0,4 tag = 6153, set = 15, block = 6301120 miss eviction 
S 642564,4 tag = 6409, set = 11, block = 6563140 miss eviction 
L 6025e4,4 tag = 6153, set = 15, block = 6301124 hit 
S 6425e4,4 tag = 6409, set = 15, block = 6563268 miss eviction 
L 6025e8,4 tag = 6153, set = 15, block = 6301128 miss eviction 
S 642664,4 tag = 6409, set = 19, block = 6563396 miss eviction 
L 6025ec,4 tag = 6153, set = 15, block = 6301132 hit 
S 6426e4,4 tag = 6409, set = 23, block = 6563524 miss eviction 
L 6025f0,4 tag = 6153, set = 15, block = 6301136 hit 
S 642764,4 tag = 6409, set = 27, block = 6563652 miss eviction 
L 6025f4,4 tag = 6153, set = 15, block = 6301140 hit 
S 6427e4,4 tag = 6409, set = 31, block = 6563780 miss eviction 
L 6025f8,4 tag = 6153, set = 15, block = 6301144 hit 
S 642864,4 tag = 6410, set = 3, block = 6563908 miss eviction 
L 6025fc,4 tag = 6153, set = 15, block = 6301148 hit 
S 6428e4,4 tag = 6410, set = 7, block = 6564036 miss eviction 
L 602600,4 tag = 6153, set = 16, block = 6301184 miss eviction 
S 642964,4 tag = 6410, set = 11, block = 6564164 miss eviction 
L 602604,4 tag = 6153, set = 16, block = 6301188 hit 
S 6429e4,4 tag = 6410, set = 15, block = 6564292 miss eviction 
L 602608,4 tag = 6153, set = 16, block = 6301192 hit 
S 642a64,4 tag = 6410, set = 19, block = 6564420 miss eviction 
L 60260c,4 tag = 6153, set = 16, block = 6301196 hit 
S 642ae4,4 tag = 6410, set = 23, block = 6564548 miss eviction 
L 602610,4 tag = 6153, set = 16, block = 6301200 hit 
S 642b64,4 tag = 6410, set = 27, block = 6564676 miss eviction 
L 602614,4 tag = 6153, set = 16, block = 6301204 hit 
S 642be4,4 tag = 6410, set = 31, block = 6564804 miss eviction 
L 602618,4 tag = 6153, set = 16, block = 6301208 hit 
S 642c64,4 tag = 6411, set = 3, block = 6564932 miss eviction 
L 60261c,4 tag = 6153, set = 16, block = 6301212 hit 
S 642ce4,4 tag = 6411, set = 7, block = 6565060 miss eviction 
L 602620,4 tag = 6153, set = 17, block = 6301184 miss eviction 
S 642d64,4 tag = 6411, set = 11, block = 6565188 miss eviction 
L 602624,4 tag = 6153, set = 17, block = 6301188 hit 
S 642de4,4 tag = 6411, set = 15, block = 6565316 miss eviction 
L 602628,4 tag = 6153, set = 17, block = 6301192 hit 
S 642e64,4 tag = 6411, set = 19, block = 6565444 miss eviction 
L 60262c,4 tag = 6153, set = 17, block = 6301196 hit 
S 642ee4,4 tag = 6411, set = 23, block = 6565572 miss eviction 
L 602630,4 tag = 6153, set = 17, block = 6301200 hit 
S 642f64,4 tag = 6411, set = 27, block = 6565700 miss eviction 
L 602634,4 tag = 6153, set = 17, block = 6301204 hit 
S 642fe4,4 tag = 6411, set = 31, block = 6565828 miss eviction 
L 602638,4 tag = 6153, set = 17, block = 6301208 hit 
S 643064,4 tag = 6412, set = 3, block = 6565956 miss eviction 
L 60263c,4 tag = 6153, set = 17, block = 6301212 hit 
S 6430e4,4 tag = 6412, set = 7, block = 6566084 miss eviction 
L 602640,4 tag = 6153, set = 18, block = 6301248 miss eviction 
S 642168,4 tag = 6408, set = 11, block = 6562120 miss eviction 
L 602644,4 tag = 6153, set = 18, block = 6301252 hit 
S 6421e8,4 tag = 6408, set = 15, block = 6562248 miss eviction 
L 602648,4 tag = 6153, set = 18, block = 6301256 hit 
S 642268,4 tag = 6408, set = 19, block = 6562376 miss eviction 
L 60264c,4 tag = 6153, set = 18, block = 6301260 hit 
S 6422e8,4 tag = 6408, set = 23, block = 6562504 miss eviction 
L 602650,4 tag = 6153, set = 18, block = 6301264 hit 
S 642368,4 tag = 6408, set = 27, block = 6562632 miss eviction 
L 602654,4 tag = 6153, set = 18, block = 6301268 hit 
S 6423e8,4 tag = 6408, set = 31, block = 6562760 miss eviction 
L 602658,4 tag = 6153, set = 18, block = 6301272 hit 
S 642468,4 tag = 6409, set = 3, block = 6562888 miss eviction 
L 60265c,4 tag = 6153, set = 18, block = 6301276 hit 
S 6424e8,4 tag = 6409, set = 7, block = 6563016 miss eviction 
L 602660,4 tag = 6153, set = 19, block = 6301248 miss eviction 
S 642568,4 tag = 6409, set = 11, block = 6563144 miss eviction 
L 602664,4 tag = 6153, set = 19, block = 6301252 hit 
S 6425e8,4 tag = 6409, set = 15, block = 6563272 miss eviction 
L 602668,4 tag = 6153, set = 19, block = 6301256 hit 
S 642668,4 tag = 6409, set = 19, block = 6563400 miss eviction 
L 60266c,4 tag = 6153, set = 19, block = 6301260 miss eviction 
S 6426e8,4 tag = 6409, set = 23, block = 6563528 miss eviction 
L 602670,4 tag = 6153, set = 19, block = 6301264 hit 
S 642768,4 tag = 6409, set = 27, block = 6563656 miss eviction 
L 602674,4 tag = 6153, set = 19, block = 6301268 hit 
S 6427e8,4 tag = 6409, set = 31, block = 6563784 miss eviction 
L 602678,4 tag = 6153, set = 19, block = 6301272 hit 
S 642868,4 tag = 6410, set = 3, block = 6563912 miss eviction 
L 60267c,4 tag = 6153, set = 19, block = 6301276 hit 
S 6428e8,4 tag = 6410, set = 7, block = 6564040 miss eviction 
L 602680,4 tag = 6153, set = 20, block = 6301312 miss eviction 
S 642968,4 tag = 6410, set = 11, block = 6564168 miss eviction 
L 602684,4 tag = 6153, set = 20, block = 6301316 hit 
S 6429e8,4 tag = 6410, set = 15, block = 6564296 miss eviction 
L 602688,4 tag = 6153, set = 20, block = 6301320 hit 
S 642a68,4 tag = 6410, set = 19, block = 6564424 miss eviction 
L 60268c,4 tag = 6153, set = 20, block = 6301324 hit 
S 642ae8,4 tag = 6410, set = 23, block = 6564552 miss eviction 
L 602690,4 tag = 6153, set = 20, block = 6301328 hit 
S 642b68,4 tag = 6410, set = 27, block = 6564680 miss eviction 
L 602694,4 tag = 6153, set = 20, block = 6301332 hit 
S 642be8,4 tag = 6410, set = 31, block = 6564808 miss eviction 
L 602698,4 tag = 6153, set = 20, block = 6301336 hit 
S 642c68,4 tag = 6411, set = 3, block = 6564936 miss eviction 
L 60269c,4 tag = 6153, set = 20, block = 6301340 hit 
S 642ce8,4 tag = 6411, set = 7, block = 6565064 miss eviction 
L 6026a0,4 tag = 6153, set = 21, block = 6301312 miss eviction 
S 642d68,4 tag = 6411, set = 11, block = 6565192 miss eviction 
L 6026a4,4 tag = 6153, set = 21, block = 6301316 hit 
S 642de8,4 tag = 6411, set = 15, block = 6565320 miss eviction 
L 6026a8,4 tag = 6153, set = 21, block = 6301320 hit 
S 642e68,4 tag = 6411, set = 19, block = 6565448 miss eviction 
L 6026ac,4 tag = 6153, set = 21, block = 6301324 hit 
S 642ee8,4 tag = 6411, set = 23, block = 6565576 miss eviction 
L 6026b0,4 tag = 6153, set = 21, block = 6301328 hit 
S 642f68,4 tag = 6411, set = 27, block = 6565704 miss eviction 
L 6026b4,4 tag = 6153, set = 21, block = 6301332 hit 
S 642fe8,4 tag = 6411, set = 31, block = 6565832 miss eviction 
L 6026b8,4 tag = 6153, set = 21, block = 6301336 hit 
S 643068,4 tag = 6412, set = 3, block = 6565960 miss eviction 
L 6026bc,4 tag = 6153, set = 21, block = 6301340 hit 
S 6430e8,4 tag = 6412, set = 7, block = 6566088 miss eviction 
L 6026c0,4 tag = 6153, set = 22, block = 6301376 miss eviction 
S 64216c,4 tag = 6408, set = 11, block = 6562124 miss eviction 
L 6026c4,4 tag = 6153, set = 22, block = 6301380 hit 
S 6421ec,4 tag = 6408, set = 15, block = 6562252 miss eviction 
L 6026c8,4 tag = 6153, set = 22, block = 6301384 hit 
S 64226c,4 tag = 6408, set = 19, block = 6562380 miss eviction 
L 6026cc,4 tag = 6153, set = 22, block = 6301388 hit 
S 6422ec,4 tag = 6408, set = 23, block = 6562508 miss eviction 
L 6026d0,4 tag = 6153, set = 22, block = 6301392 hit 
S 64236c,4 tag = 6408, set = 27, block = 6562636 miss eviction 
L 6026d4,4 tag = 6153, set = 22, block = 6301396 hit 
S 6423ec,4 tag = 6408, set = 31, block = 6562764 miss eviction 
L 6026d8,4 tag = 6153, set = 22, block = 6301400 hit 
S 64246c,4 tag = 6409, set = 3, block = 6562892 miss eviction 
L 6026dc,4 tag = 6153, set = 22, block = 6301404 hit 
S 6424ec,4 tag = 6409, set = 7, block = 6563020 miss eviction 
L 6026e0,4 tag = 6153, set = 23, block = 6301376 miss eviction 
S 64256c,4 tag = 6409, set = 11, block = 6563148 miss eviction 
L 6026e4,4 tag = 6153, set = 23, block = 6301380 hit 
S 6425ec,4 tag = 6409, set = 15, block = 6563276 miss eviction 
L 6026e8,4 tag = 6153, set = 23, block = 6301384 hit 
S 64266c,4 tag = 6409, set = 19, block = 6563404 miss eviction 
L 6026ec,4 tag = 6153, set = 23, block = 6301388 hit 
S 6426ec,4 tag = 6409, set = 23, block = 6563532 miss eviction 
L 6026f0,4 tag = 6153, set = 23, block = 6301392 miss eviction 
S 64276c,4 tag = 6409, set = 27, block = 6563660 miss eviction 
L 6026f4,4 tag = 6153, set = 23, block = 6301396 hit 
S 6427ec,4 tag = 6409, set = 31, block = 6563788 miss eviction 
L 6026f8,4 tag = 6153, set = 23, block = 6301400 hit 
S 64286c,4 tag = 6410, set = 3, block = 6563916 miss eviction 
L 6026fc,4 tag = 6153, set = 23, block = 6301404 hit 
S 6428ec,4 tag = 6410, set = 7, block = 6564044 miss eviction 
L 602700,4 tag = 6153, set = 24, block = 6301440 miss eviction 
S 64296c,4 tag = 6410, set = 11, block = 6564172 miss eviction 
L 602704,4 tag = 6153, set = 24, block = 6301444 hit 
S 6429ec,4 tag = 6410, set = 15, block = 6564300 miss eviction 
L 602708,4 tag = 6153, set = 24, block = 6301448 hit 
S 642a6c,4 tag = 6410, set = 19, block = 6564428 miss eviction 
L 60270c,4 tag = 6153, set = 24, block = 6301452 hit 
S 642aec,4 tag = 6410, set = 23, block = 6564556 miss eviction 
L 602710,4 tag = 6153, set = 24, block = 6301456 hit 
S 642b6c,4 tag = 6410, set = 27, block = 6564684 miss eviction 
L 602714,4 tag = 6153, set = 24, block = 6301460 hit 
S 642bec,4 tag = 6410, set = 31, block = 6564812 miss eviction 
L 602718,4 tag = 6153, set = 24, block = 6301464 hit 
S 642c6c,4 tag = 6411, set = 3, block = 6564940 miss eviction 
L 60271c,4 tag = 6153, set = 24, block = 6301468 hit 
S 642cec,4 tag = 6411, set = 7, block = 6565068 miss eviction 
L 602720,4 tag = 6153, set = 25, block = 6301440 miss eviction 
S 642d6c,4 tag = 6411, set = 11, block = 6565196 miss eviction 
L 602724,4 tag = 6153, set = 25, block = 6301444 hit 
S 642dec,4 tag = 6411, set = 15, block = 6565324 miss eviction 
L 602728,4 tag = 6153, set = 25, block = 6301448 hit 
S 642e6c,4 tag = 6411, set = 19, block = 6565452 miss eviction 
L 60272c,4 tag = 6153, set = 25, block = 6301452 hit 
S 642eec,4 tag = 6411, set = 23, block = 6565580 miss eviction 
L 602730,4 tag = 6153, set = 25, block = 6301456 hit 
S 642f6c,4 tag = 6411, set = 27, block = 6565708 miss eviction 
L 602734,4 tag = 6153, set = 25, block = 6301460 hit 
S 642fec,4 tag = 6411, set = 31, block = 6565836 miss eviction 
L 602738,4 tag = 6153, set = 25, block = 6301464 hit 
S 64306c,4 tag = 6412, set = 3, block = 6565964 miss eviction 
L 60273c,4 tag = 6153, set = 25, block = 6301468 hit 
S 6430ec,4 tag = 6412, set = 7, block = 6566092 miss eviction 
L 602740,4 tag = 6153, set = 26, block = 6301504 miss eviction 
S 642170,4 tag = 6408, set = 11, block = 6562128 miss eviction 
L 602744,4 tag = 6153, set = 26, block = 6301508 hit 
S 6421f0,4 tag = 6408, set = 15, block = 6562256 miss eviction 
L 602748,4 tag = 6153, set = 26, block = 6301512 hit 
S 642270,4 tag = 6408, set = 19, block = 6562384 miss eviction 
L 60274c,4 tag = 6153, set = 26, block = 6301516 hit 
S 6422f0,4 tag = 6408, set = 23, block = 6562512 miss eviction 
L 602750,4 tag = 6153, set = 26, block = 6301520 hit 
S 642370,4 tag = 6408, set = 27, block = 6562640 miss eviction 
L 602754,4 tag = 6153, set = 26, block = 6301524 hit 
S 6423f0,4 tag = 6408, set = 31, block = 6562768 miss eviction 
L 602758,4 tag = 6153, set = 26, block = 6301528 hit 
S 642470,4 tag = 6409, set = 3, block = 6562896 miss eviction 
L 60275c,4 tag = 6153, set = 26, block = 6301532 hit 
S 6424f0,4 tag = 6409, set = 7, block = 6563024 miss eviction 
L 602760,4 tag = 6153, set = 27, block = 6301504 miss eviction 
S 642570,4 tag = 6409, set = 11, block = 6563152 miss eviction 
L 602764,4 tag = 6153, set = 27, block = 6301508 hit 
S 6425f0,4 tag = 6409, set = 15, block = 6563280 miss eviction 
L 602768,4 tag = 6153, set = 27, block = 6301512 hit 
S 642670,4 tag = 6409, set = 19, block = 6563408 miss eviction 
L 60276c,4 tag = 6153, set = 27, block = 6301516 hit 
S 6426f0,4 tag = 6409, set = 23, block = 6563536 miss eviction 
L 602770,4 tag = 6153, set = 27, block = 6301520 hit 
S 642770,4 tag = 6409, set = 27, block = 6563664 miss eviction 
L 602774,4 tag = 6153, set = 27, block = 6301524 miss eviction 
S 6427f0,4 tag = 6409, set = 31, block = 6563792 miss eviction 
L 602778,4 tag = 6153, set = 27, block = 6301528 hit 
S 642870,4 tag = 6410, set = 3, block = 6563920 miss eviction 
L 60277c,4 tag = 6153, set = 27, block = 6301532 hit 
S 6428f0,4 tag = 6410, set = 7, block = 6564048 miss eviction 
L 602780,4 tag = 6153, set = 28, block = 6301568 miss eviction 
S 642970,4 tag = 6410, set = 11, block = 6564176 miss eviction 
L 602784,4 tag = 6153, set = 28, block = 6301572 hit 
S 6429f0,4 tag = 6410, set = 15, block = 6564304 miss eviction 
L 602788,4 tag = 6153, set = 28, block = 6301576 hit 
S 642a70,4 tag = 6410, set = 19, block = 6564432 miss eviction 
L 60278c,4 tag = 6153, set = 28, block = 6301580 hit 
S 642af0,4 tag = 6410, set = 23, block = 6564560 miss eviction 
L 602790,4 tag = 6153, set = 28, block = 6301584 hit 
S 642b70,4 tag = 6410, set = 27, block = 6564688 miss eviction 
L 602794,4 tag = 6153, set = 28, block = 6301588 hit 
S 642bf0,4 tag = 6410, set = 31, block = 6564816 miss eviction 
L 602798,4 tag = 6153, set = 28, block = 6301592 hit 
S 642c70,4 tag = 6411, set = 3, block = 6564944 miss eviction 
L 60279c,4 tag = 6153, set = 28, block = 6301596 hit 
S 642cf0,4 tag = 6411, set = 7, block = 6565072 miss eviction 
L 6027a0,4 tag = 6153, set = 29, block = 6301568 miss eviction 
S 642d70,4 tag = 6411, set = 11, block = 6565200 miss eviction 
L 6027a4,4 tag = 6153, set = 29, block = 6301572 hit 
S 642df0,4 tag = 6411, set = 15, block = 6565328 miss eviction 
L 6027a8,4 tag = 6153, set = 29, block = 6301576 hit 
S 642e70,4 tag = 6411, set = 19, block = 6565456 miss eviction 
L 6027ac,4 tag = 6153, set = 29, block = 6301580 hit 
S 642ef0,4 tag = 6411, set = 23, block = 6565584 miss eviction 
L 6027b0,4 tag = 6153, set = 29, block = 6301584 hit 
S 642f70,4 tag = 6411, set = 27, block = 6565712 miss eviction 
L 6027b4,4 tag = 6153, set = 29, block = 6301588 hit 
S 642ff0,4 tag = 6411, set = 31, block = 6565840 miss eviction 
L 6027b8,4 tag = 6153, set = 29, block = 6301592 hit 
S 643070,4 tag = 6412, set = 3, block = 6565968 miss eviction 
L 6027bc,4 tag = 6153, set = 29, block = 6301596 hit 
S 6430f0,4 tag = 6412, set = 7, block = 6566096 miss eviction 
L 6027c0,4 tag = 6153, set = 30, block = 6301632 miss eviction 
S 642174,4 tag = 6408, set = 11, block = 6562132 miss eviction 
L 6027c4,4 tag = 6153, set = 30, block = 6301636 hit 
S 6421f4,4 tag = 6408, set = 15, block = 6562260 miss eviction 
L 6027c8,4 tag = 6153, set = 30, block = 6301640 hit 
S 642274,4 tag = 6408, set = 19, block = 6562388 miss eviction 
L 6027cc,4 tag = 6153, set = 30, block = 6301644 hit 
S 6422f4,4 tag = 6408, set = 23, block = 6562516 miss eviction 
L 6027d0,4 tag = 6153, set = 30, block = 6301648 hit 
S 642374,4 tag = 6408, set = 27, block = 6562644 miss eviction 
L 6027d4,4 tag = 6153, set = 30, block = 6301652 hit 
S 6423f4,4 tag = 6408, set = 31, block = 6562772 miss eviction 
L 6027d8,4 tag = 6153, set = 30, block = 6301656 hit 
S 642474,4 tag = 6409, set = 3, block = 6562900 miss eviction 
L 6027dc,4 tag = 6153, set = 30, block = 6301660 hit 
S 6424f4,4 tag = 6409, set = 7, block = 6563028 miss eviction 
L 6027e0,4 tag = 6153, set = 31, block = 6301632 miss eviction 
